Name,Price (Intraday),Change,Market Cap,Volume in Currency,Circulating Supply
Dubai USD,0,0,0,28,0
Pollux Coin USD,1.6738,0.0228,0,"490,987",0
Altbase USD,0.000065,0.000001,0,"5,867",0
Supernova USD,0.011459,-0.00001,0,18,0
Pulse Predictions Market USD,0.015562,0,0,112,0
Dosa USD,0.00004,-0.000001,0,37,0
Bearium USD,0.003074,-0.000002,0,26,0
Mover USD,0.306502,-0.028385,0,"13,869",0
boomer bucks USD,0.000362,-0.000003,0,274,0
Algodex Token USD,0.000027,0,0,40,0
BOUNTYKINDS USD,1.8654,-0.0033,0,"3,558",0
StewieGriffin USD,0,0,0,37,0
Grizzly Honey USD,8.4242,0.0034,0,"48,730",0
Solbank Token USD,0.00000351,0,0,0,0
BOX USD,0.014961,-0.000094,0,"60,980",0
YEL.Finance USD,0.001627,-0.000149,0,"1,704",0
VeriBlock USD,0.000916,-0.000006,0,45,0
QinsMoon USD,0.00000001,0,0,23,0
Maria Daisy USD,0,0,0,N/A,0
2023 MOON USD,0.00000001,0,0,0,0
Shaman King Inu USD,0,0,0,"32,177",0
Rope Coin USD,0.000018,0,0,6,0
Slurp The Dip USD,0.000014,0,0,1,0
Trollface USD,0,0,0,25,0
Buzz Inu USD,0,0,0,177,0
MYCE USD,0.00000015,0,0,541,0
Baby Zoro Inu USD,0,0,0,0,0
DONASWAP USD,0,0,0,8,0
FitEvo USD,0.004392,0,0,136,0
Sun Wu Kong USD,0.0000072,0,0,2,0
TUIQIAN USD,0.00000001,0,0,36,0
PEPEJOHNS USD,0.00000013,0,0,21,0
Auxo USD,14.31,0,0,1,0
ProjectMars USD,0.00000016,0,0,21,0
Looney USD,0.00000003,0,0,84,0
2BUTTONS BSC USD,0,0,0,1,0
Catch a Jeet USD,0.0000001,0,0,14,0
HyperBurn USD,0.00000191,0,0,18,0
Musk Doge USD,0.00000002,0,0,1,0
0xAlgo USD,0.000016,0,0,49,0
Galaxy Survivor USD,0.000061,0,0,"5,301",0
Jeet BSC USD,0,0,0,10,0
Collar USD,0.000015,0,0,"11,619",0
Free Speech USD,0.000867,0,0,2,0
MilkAI USD,0.00003,0,0,3,0
Drive Crypto USD,0.00041,0,0,"16,386",0
Perpetuum USD,0.001372,0,0,2,0
GalleryCoin USD,0.360283,0,0,"50,230",0
Arab Hyperloop USD,0.00000536,0,0,0,0
Wolfystreetbets USD,0.00034,0,0,3,0
ETHW ID USD,0.000084,0,0,111,0
Harpoon USD,0.00226,0,0,115,0
Werecoin?EV?Charging USD,0.000032,0,0,552,0
Takeda Shingen USD,0.00000063,0,0,N/A,0
ETHW ID USD,0.000084,0,0,111,0
Wolfystreetbets USD,0.00034,0,0,3,0
Redacted USD,0.000086,0,0,19,0
MoonCoin USD,0.000501,0,0,"2,887",0
Iron Bank USD,1.2494,0,0,309,0
OpenbetAI USD,0.020314,0,0,82,0
Sincere Doge USD,0,0,0,77,0
Garuda Coin USD,0.00000003,0,0,N/A,0
Pavia USD,0.006721,-0.00003,0,"10,042",0
AVME USD,0.008879,-0.000047,0,7,0
Happiness USD,0.0000036,0.00000008,0,0,0
Compendium USD,0.001649,0.000008,0,354,0
Suteku USD,0.00000233,0,0,14,0
Export Mortos Platform USD,0.022789,0.001436,0,429,0
BitcoinPepe USD,0.00000106,0.00000004,0,"14,826",0
DogeShrek USD,0.000588,0,0,1,0
Diamond Pepe USD,0,0,0,"42,913",0
Reel Token USD,0.009264,-0.000002,0,0,0
Jinni AI USD,0.00000618,-0.00000005,0,"2,459",0
CV SHOTS USD,0.001699,0,0,0,0
Tongtongcoin USD,0.060208,-0.00154,0,"19,726",0
CashCow USD,0.080199,-0.000944,0,0,0
Bitindi Chain USD,0.007383,-0.000029,0,"78,189",0
Homer Pepe USD,0,0,0,824,0
Trend X USD,0.007051,-0.002297,0,"3,094",0
Stewie Coin USD,0,0,0,432,0
ISLAMICOIN USD,0.000562,-0.000003,0,"441,860",0
King Bean USD,0.00000002,-0.00000001,0,806,0
LinkDao Network USD,0.397475,0.05687,0,"143,734",0
PEPEBSC USD,0.000049,0,0,15,0
BAMBOO TOKEN USD,0.766471,0.025573,0,"1,628",0
NEKO USD,0.000014,-0.000001,0,656,0
Tickr USD,0.000018,0,0,"1,743",0
GO HAYYA USD,0,0,0,104,0
Shanghai Inu USD,0,0,0,"546,965",0
Stackswap USD,0.027622,0.000109,0,"63,013",0
ASIMI USD,0.004549,-0.000029,0,0,0
Based Finance USD,0.03293,-0.000069,0,645,0
ITSMYNE USD,0.003045,0.000003,0,1,0
Candle USD,0.000489,-0.000003,0,11,0
Snap Token USD,0.000166,-0.000007,0,50,0
MTG Token USD,0.000517,-0.000004,0,"10,502",0
CoinFarm (new) USD,0.006127,0,0,128,0
Joystick USD,0.01072,0,0,76,0
Calo USD,0.002473,-0.000011,0,40,0
Daytona Finance USD,0.193227,0.008557,0,"219,164",0
Gemlink USD,0.006757,0.000263,0,"3,157",0
Skillchain USD,0.00236,0,0,15,0
MeetPle USD,0.001721,-0.000415,0,"19,272",0
Dark Knight USD,0.000787,-0.000007,0,"13,324",0
ShibariumAI USD,0.109103,-0.002828,0,629,0
TipsyCoin USD,0.000031,0.000001,0,"4,582",0
Algory Project USD,0.025717,-0.001649,0,9,0
AIon Mars USD,0.000417,0,0,981,0
LeverageInu USD,0.28368,-0.007102,0,"1,922",0
MIMOSA USD,0.00964,0,0,2,0
Desmos USD,0.019302,0.000023,0,33,0
Ceres USD,14.83,0.21,0,"2,287",0
Ravendex USD,0.000111,0,0,0,0
OpenSwap Optimism Token USD,0.027924,0.000123,0,"1,095",0
VN Token USD,0.001832,-0.000012,0,0,0
Custodiy USD,15.78,-0.02,0,"535,554",0
Paypolitan Token USD,0.00522,0.000124,0,"37,172",0
Kusa Inu USD,0.000029,0,0,183,0
Bloody Bunny USD,0.000017,0,0,10,0
Macro Protocol USD,0.00000011,0,0,0,0
BUBU USD,0.008621,-0.00049,0,"53,652",0
VR Arena USD,0.0007,0,0,"3,372",0
Dot Dot Finance USD,0.00089,-0.000004,0,686,0
EGO USD,0.062649,-0.000349,0,"830,828",0
Wrapped ALGO USD,0.108895,-0.000764,0,27,0
Heroes & Empires USD,0.001127,0.000001,0,"19,041",0
PlayNity USD,0.001625,0,0,588,0
Nucleon USD,0.207558,-0.002467,0,"4,738",0
FloorDAO USD,4.458,-0.0114,0,"1,104",0
BabyDogeARMY USD,0,0,0,44,0
Fathom USD,0.000266,0.000002,0,117,0
Artemis Protocol USD,0.000124,-0.000002,0,19,0
Wallet Defi USD,0.296881,0,0,12,0
BITE USD,0.00015,-0.00002,0,7,0
Bogdanoff USD,0,0,0,45,0
Sourceless USD,0.027754,-0.000704,0,528,0
PepeDerp USD,0.00000039,0.00000001,0,"447,953",0
Nirvana Chain USD,2.7407,0.0349,0,"121,955",0
Ducker USD,0.00000327,-0.00000181,0,"30,385",0
DegenDuckRace USD,0.002623,-0.000048,0,376,0
Tenti USD,0.000187,0.000002,0,"49,611",0
ZkTsunami USD,0.218255,-0.014093,0,"18,847",0
OBRok Token USD,0,0,0,12,0
Wrapped LUNA Classic USD,0.000084,0,0,"4,455",0
Rebate Coin USD,0.00000034,-0.00000006,0,"358,781",0
rainSPIRIT USD,0.001263,-0.000253,0,136,0
NFTMart Token USD,0.002471,-0.000098,0,"10,287",0
Two Buttons Coin USD,0.00000004,0,0,89,0
TURBOCHAIN USD,0.055528,0.014372,0,"15,636",0
PUPU USD,0.000014,0,0,0,0
Soon Coin USD,28.04,1.34,0,87,0
TokenBot USD,0.001019,-0.000007,0,"21,101",0
Digital Swiss Franc USD,0.00278,-0.000065,0,"38,048",0
Gem Guardian USD,0.004875,-0.000057,0,19,0
Coin Edelweis USD,0.000153,0.000046,0,11,0
Rizz Token USD,0,0,0,"9,284",0
GameGuru USD,0.00023,-0.000006,0,104,0
Dignity Gold USD,2.2953,-0.0145,0,10,0
PoorPleb USD,0.00000619,0.00000027,0,494,0
Utopia USD USD,0.999462,-0.000169,0,"34,209",0
CryptoJetski USD,0.000041,0,0,4,0
TaiChi USD,0.270431,0,0,N/A,0
samoydecoin (BSC) USD,0.00000013,-0.00000001,0,99,0
Bonorum USD,0.304404,-0.001971,0,41,0
CryptoTwitter USD,0,0,0,"2,760",0
StarSharks (SSS) USD,0.093567,0.000365,0,"17,902",0
MarvelDoge USD,0.00000025,-0.00000026,0,"1,161",0
KickPad USD,0.001097,-0.00001,0,"10,150",0
Shori USD,0.000156,-0.000001,0,325,0
Peper Token USD,0,0,0,2,0
Jigen USD,0.002031,0,0,38,0
Hepton USD,0.001564,-0.00004,0,"61,985",0
OG Income Island Token USD,0.00000004,0,0,18,0
WeBuy USD,0.358503,-0.003137,0,"101,594",0
eBlockStock USD,0.01552,-0.00051,0,"5,969",0
Liquid KSM USD,3.2717,-0.0256,0,"8,071",0
Super Athletes Token USD,0.004835,-0.004463,0,"11,230",0
Bimp.Finance USD,0,0,0,N/A,0
Freight Trust & Clearing Network USD,0.000098,0,0,7,0
Rage On Wheels USD,0.04295,-0.000052,0,"2,176",0
Sincere Doge USD,0,0,0,77,0
Garuda Coin USD,0.00000003,0,0,N/A,0
Pavia USD,0.006721,-0.00003,0,"10,042",0
AVME USD,0.008879,-0.000047,0,7,0
Happiness USD,0.0000036,0.00000008,0,0,0
Compendium USD,0.001649,0.000008,0,354,0
Suteku USD,0.00000233,0,0,14,0
Export Mortos Platform USD,0.022789,0.001436,0,429,0
BitcoinPepe USD,0.00000106,0.00000004,0,"14,826",0
DogeShrek USD,0.000588,0,0,1,0
Diamond Pepe USD,0,0,0,"42,913",0
Reel Token USD,0.009264,-0.000002,0,0,0
Jinni AI USD,0.00000618,-0.00000005,0,"2,459",0
CV SHOTS USD,0.001699,0,0,0,0
Tongtongcoin USD,0.060208,-0.00154,0,"19,726",0
CashCow USD,0.080199,-0.000944,0,0,0
Bitindi Chain USD,0.007383,-0.000029,0,"78,189",0
Homer Pepe USD,0,0,0,824,0
Trend X USD,0.007051,-0.002297,0,"3,094",0
Stewie Coin USD,0,0,0,432,0
ISLAMICOIN USD,0.000562,-0.000003,0,"441,860",0
King Bean USD,0.00000002,-0.00000001,0,806,0
LinkDao Network USD,0.397475,0.05687,0,"143,734",0
PEPEBSC USD,0.000049,0,0,15,0
BAMBOO TOKEN USD,0.766471,0.025573,0,"1,628",0
NEKO USD,0.000014,-0.000001,0,656,0
Tickr USD,0.000018,0,0,"1,743",0
GO HAYYA USD,0,0,0,104,0
Shanghai Inu USD,0,0,0,"546,965",0
Stackswap USD,0.027622,0.000109,0,"63,013",0
ASIMI USD,0.004549,-0.000029,0,0,0
Based Finance USD,0.03293,-0.000069,0,645,0
ITSMYNE USD,0.003045,0.000003,0,1,0
Candle USD,0.000489,-0.000003,0,11,0
Mintpad USD,0.00003,0,0,"9,710",0
KONG USD,0.00000088,-0.00000038,0,"76,332",0
Offshift (new) USD,0.312997,-0.00033,0,"61,466",0
ULTRON USD,0.08801,-0.000576,0,"979,043",0
Nole Inu USD,0,0,0,1,0
PulseBitcoin USD,0.031029,-0.001109,0,804,0
Curio Stable Coin USD,0.071265,-0.08422,0,N/A,0
Fairface USD,0.28978,0.025635,0,"105,981",0
POLARNODES USD,0.000032,0,0,2,0
HBARX USD,0.060593,-0.000587,0,"10,981",0
Andus Chain USD,0.005658,-0.000016,0,"66,404",0
Metatoken USD,0.00304,-0.000261,0,"7,675",0
Ternio USD,0.000799,0,0,1,0
Tectonic USD,0.00000012,0,0,"30,228",0
Farmsent USD,0.035031,0.010372,0,200,0
Noso USD,0.199819,-0.005208,0,"4,726",0
Ulgen Hash Power USD,0.0011,0,0,0,0
Draken USD,0.0007,0,0,201,0
Clear Water USD,0.00005,0,0,25,0
Greenhouse USD,0.006025,0,0,1,0
BOUNTYKINDS USD,0.027778,0.000178,0,285,0
Illuminati USD,0.00000489,-0.00000004,0,N/A,0
Story USD,0.000018,-0.000002,0,0,0
Shibaverse USD,0.000277,0.000041,0,"6,198",0
Statter Network USD,1.4711,-0.0041,0,"562,150",0
Dojo Supercomputer USD,0,0,0,"6,074",0
GamingShiba USD,0.00000577,-0.00000005,0,304,0
STMAN | Stickman's Battleground NFT Game USD,0.001108,-0.000011,0,5,0
Blocksmith Labs Forge USD,0.10744,0.001961,0,"51,919",0
BlockGPT USD,0.0000007,0,0,0,0
GucciCake USD,0,0,0,0,0
Vent Finance USD,0.007768,-0.000056,0,"7,884",0
Maricoin USD,0.004143,0.000153,0,403,0
Crazy Bunny USD,0,0,0,"3,843",0
BlackPearl Token USD,0.0000002,0.0000001,0,1.018M,0
Omni Real Estate Token USD,0.00000003,0,0,7,0
PEPEKING USD,0.000622,0.000014,0,149,0
Get Money Token USD,0.00000011,0,0,77,0
CashBackPro USD,0.563059,-0.020728,0,"241,829",0
Silver USD,24.47,0.84,0,"11,940",0
Antspace USD,0,0,0,"1,264",0
Rebuschain USD,0.010361,0.000258,0,"267,212",0
Defiskeletons USD,0.004722,0.000183,0,33,0
Kyberdyne USD,0.001246,-0.000003,0,"7,458",0
DogeBNB.org USD,0,0,0,6,0
Infinity Box USD,0.006716,0,0,33,0
CryptoMines Reborn USD,0.044714,-0.000382,0,37,0
COLLARSWAP USD,0.00000002,0,0,7,0
Dreamverse USD,0.000712,-0.000004,0,"12,417",0
WiBX USD,0.002987,-0.000046,0,"44,550",0
Doge-1 Mission to the moon USD,0.00000002,0,0,58,0
BabyXape USD,0.00000152,0,0,N/A,0
Giddy USD,0.009733,0.000218,0,"89,869",0
The Protocol USD,0.000464,0.00001,0,"94,663",0
Ethereum Privacy Machine USD,0.00000665,0,0,57,0
MetaMUI USD,0.120436,-0.00018,0,"102,928",0
Australian Dollar Token USD,0.685543,0.011274,0,6.783M,0
Eagle Token USD,0,0,0,"16,719",0
Fief USD,0.00102,-0.001398,0,140,0
PepeSol USD,0.000098,-0.000004,0,"4,462",0
MoonPot Finance USD,0.000929,-0.000017,0,95,0
HiFi Gaming Society USD,0.00000349,0,0,1,0
INU USD,0,0,0,70,0
Floki Box USD,0,0,0,101,0
Whale Exploder USD,0,0,0,6,0
ArbiDex Token USD,0.302707,0.013614,0,"12,777",0
Tari World USD,1.0036,-0.0296,0,"50,615",0
Tail Finance USD,0,0,0,5,0
Bible USD,0.000014,0,0,153,0
Joe-Yo Coin USD,0,0,0,0,0
GreenWorld USD,0.007176,0.000035,0,359,0
MuratiAI USD,0.00002,0,0,"207,625",0
PayRue (Propel) USD,0.00000287,0,0,12,0
Graphen USD,0.000073,0,0,0,0
Flurry Finance USD,0.000031,-0.000001,0,"6,640",0
Ninja Protocol USD,0.009821,0.000115,0,351,0
QANplatform USD,0.016518,0.000901,0,"421,304",0
TATA Coin USD,0.008423,-0.000249,0,170,0
SpaceMine USD,0.000657,-0.000066,0,"188,208",0
Sekuritance USD,0.001112,0.000001,0,"7,039",0
UncleMine USD,0.000162,-0.000007,0,"1,924",0
ENNO Cash USD,0.035799,-0.000506,0,"6,573",0
Philcoin USD,0.008048,0.000081,0,"290,496",0
Power Crypto World USD,0.00000033,0,0,"1,156",0
Arbull USD,0,0,0,315,0
Ark Rivals USD,0.000193,-0.000008,0,"1,891",0
MedicalAI USD,0.00000089,0,0,12,0
ZEDXION USD,0.998462,0.000826,0,2.043M,0
Swaperry USD,0.001335,-0.000003,0,18,0
RABBIT HALLOWEEN USD,0,0,0,5,0
Glowston USD,0,0,0,21,0
Alpha Petto Shells USD,0.001737,0.000145,0,35,0
Codex USD,0.00000214,0.00000025,0,0,0
PlatinX USD,0.007495,-0.00136,0,"107,264",0
Metal Blockchain USD,0.055011,0.000529,0,"20,457",0
IX Token USD,0.337004,0.001777,0,"137,536",0
Olympus v2 USD,10.75,-0.2,0,1.377M,0
Pepe Dash AI USD,0.000059,0,0,207,0
GLI TOKEN USD,4.3289,-0.0749,0,"230,972",0
FROGGO The Last Pepe USD,0.001821,-0.000015,0,18,0
Crypto tex USD,0.831468,-0.000141,0,28.546M,0
Moox Protocol USD,0.004626,-0.000227,0,84,0
Gains USD,0.074315,-0.000522,0,"2,554",0
Waifer USD,0,0,0,136,0
ShibElon USD,0.00000024,0,0,"42,953",0
Timmy Turner USD,0,0,0,12,0
Good Dog USD,0.502795,0.004333,0,"6,555",0
UCO Network USD,0.00801,-0.000001,0,0,0
1Swap USD,0.00000671,0,0,0,0
VizslaSwap USD,0.007876,0.001118,0,177,0
Space Chain USD,0.000081,0.000003,0,327,0
Qubit USD,0.00006,0,0,13,0
Super Floki USD,0,0,0,4,0
Eggy Inu USD,0.00000161,0.00000001,0,8,0
MetaFighter USD,0.000229,-0.000002,0,"17,838",0
DeFi11 (Acquired by VulcanForged) USD,0.000209,-0.000004,0,0,0
LP 3pool Curve USD,1.0265,0.0036,0,"19,989",0
Asap Sniper Bot USD,0.000913,0.000208,0,"15,391",0
New Paradigm Assets Solution USD,0.012792,-0.001515,0,"51,549",0
Waves Ducks USD,3.8045,-0.0502,0,109,0
Doge Ipa USD,0.000749,-0.000009,0,20,0
HistoryDAO USD,0.002121,0.000048,0,"795,817",0
Perry The BNB V2 USD,0,0,0,50,0
JP USD,0.000199,0,0,546,0
DISAPPOINTED DAD USD,0.003991,-0.000031,0,5,0
Pepe Next Generation USD,0,0,0,2,0
VeUSD USD,0.999972,-0.000102,0,"91,206",0
Fluffy Coin USD,0.000118,0,0,96,0
Domi Online USD,0.003791,0.000329,0,"97,345",0
Bitcoin Pay USD,0.004083,-0.000009,0,132,0
Dogai USD,0.00000008,-0.00000001,0,1.39M,0
SIGN USD,0.004627,-0.000002,0,"67,920",0
Crypto Bros USD,0,0,0,"1,885",0
REDMARS USD,0.000044,0,0,11,0
Game Stake USD,0.000096,-0.000001,0,10,0
UrDEX Finance USD,0.010303,-0.000038,0,148,0
DAOhaus USD,0.552513,-0.118223,0,6,0
SCOOBY USD,0,0,0,30,0
DogPad Finance USD,0.00000365,0.00000068,0,"45,168",0
Savant AI USD,0.000031,0,0,1,0
Destiny AI USD,0.00000699,-0.00000005,0,264,0
Auric Network USD,0.06861,0.000008,0,10,0
Z-Cubed USD,0.172543,-0.003606,0,"20,151",0
Membrana USD,0.000056,0,0,28,0
Powabit USD,0.000039,0,0,84,0
Synex Coin USD,0.000114,0,0,2,0
Moonprinter USD,0,0,0,56,0
GND Protocol USD,433.72,5.55,0,"85,404",0
Frax Finance - Frax Ether USD,"1,879.48",-5.13,0,9.36M,0
Antspace USD,0,0,0,"1,264",0
Rebuschain USD,0.010361,0.000258,0,"267,212",0
Defiskeletons USD,0.004722,0.000183,0,33,0
Kyberdyne USD,0.001246,-0.000003,0,"7,458",0
DogeBNB.org USD,0,0,0,6,0
Infinity Box USD,0.006716,0,0,33,0
CryptoMines Reborn USD,0.044714,-0.000382,0,37,0
COLLARSWAP USD,0.00000002,0,0,7,0
Dreamverse USD,0.000712,-0.000004,0,"12,417",0
WiBX USD,0.002981,-0.000062,0,"44,860",0
Doge-1 Mission to the moon USD,0.00000002,0,0,58,0
Light DeFi USD,0.000051,0,0,2,0
REV3AL USD,0.006956,-0.000063,0,"94,500",0
Microtuber USD,0.000856,0.00002,0,"26,352",0
Elysium USD,0.003497,0,0,8,0
botXcoin USD,0.001737,-0.000129,0,"6,194",0
Proteo DeFi USD,0.503981,-0.000085,0,"4,876",0
GYSR USD,0.045295,-0.002507,0,"6,847",0
UXD Stablecoin USD,1.0011,0.001,0,"930,387",0
Sacred Tails USD,0.00036,-0.000001,0,748,0
Bullet App USD,0.000203,0,0,141,0
Sell Token USD,0.008306,0.000119,0,"12,281",0
Cells Finance(BSC) USD,0.0001,0,0,16,0
NEWTOWNGAMING USD,0.00021,0,0,61,0
Chain Games USD,0.012175,0.000037,0,"11,133",0
Build A Block USD,0.014823,-0.000519,0,"3,145",0
XENDoge USD,0.00002,-0.000002,0,307,0
StepWatch USD,0.000859,-0.000038,0,"26,777",0
Meta Masters Guild USD,0.004383,0.000323,0,"74,005",0
Don't Buy Inu USD,0.001887,-0.000147,0,"404,956",0
ReelFi USD,0.001404,0,0,0,0
Lilly Finance USD,0,0,0,19,0
MetaVerse-M USD,0.003697,0.000054,0,"40,870",0
$CROOGE USD,0.00000417,-0.00000008,0,14,0
Aloha USD,0.001517,-0.000002,0,22,0
Lazy Horse Race Club USD,0.000101,0,0,0,0
Neos Credits USD,0.076154,-0.000006,0,380,0
YUKKY USD,0.016679,0.000057,0,"30,423",0
Future Of Fintech USD,0.25599,-0.007944,0,"6,935",0
Pep ManCity USD,0.000046,0,0,"1,881",0
BTC Proxy USD,"30,522.77",-209.6,0,"7,885",0
Array Capital USD,0.016733,-0.000435,0,"1,782",0
Wrapped WDOGE USD,0.127146,0.030307,0,"173,192",0
AssetMantle USD,0.002058,0.000026,0,"157,934",0
DecentraWorld Ecosystem USD,0.001235,0,0,1,0
Kalkulus USD,0.000383,0.000076,0,85,0
Alphabet USD,0.000032,0,0,10,0
Shush Club USD,0.000036,0,0,5,0
Leonidas Token USD,0.00000649,0.00000001,0,0,0
BundlesBets V2 USD,1.179,0.0813,0,188,0
Maximus USD,0.00843,-0.000092,0,27,0
Chainpay USD,0.06687,-0.000141,0,"5,132",0
Drip Network USD,0.179967,-0.004382,0,"10,162",0
Himalayan Cat Coin USD,0.00000046,0,0,0,0
LBK USD,0.012431,0.000048,0,"705,523",0
Capybara Coin USD,0.001043,0,0,10,0
Dachshund USD,0.000127,0,0,"3,316",0
Burn Floki USD,0,0,0,"37,839",0
Genius USD,0.00000316,0.00000027,0,"1,735",0
Minato USD,2.3598,-0.0139,0,18,0
Convex FXS USD,6.2563,0.0471,0,"130,694",0
KeKChain USD,0.000153,0.000013,0,"2,150",0
Telegram Inu USD,0.00000548,0.00000275,0,17,0
Fat Tony USD,0,0,0,98,0
Nether NFT USD,0.002215,-0.000285,0,50,0
Moby Dick USD,0.00000251,0,0,"6,020",0
SPDR S&P 500 ETF tokenized stock FTX USD,309.51,-2.38,0,508,0
Voltage Finance USD,0.000321,0.000005,0,"62,049",0
ShibWallet USD,0.015308,0,0,109,0
TOURIST SHIBA INU USD,0,0,0,0,0
BNBUP USD,28.88,-0.07,0,"188,021",0
Sensitrust USD,0.009986,-0.000038,0,N/A,0
Singularity USD,0.000252,0,0,77,0
MM Optimizer (Cronos) USD,0.071651,-0.000344,0,938,0
MAI USD,0.965666,0.029773,0,"648,344",0
Jim USD,0.000045,-0.000002,0,"716,874",0
Nahmii USD,0.000265,-0.000003,0,"10,933",0
MetaSetGO USD,0.004264,-0.00005,0,24,0
Pelenia USD,0.000036,0,0,7,0
NFTDeli USD,0.003787,0.001437,0,"147,583",0
Baby Richard Heart USD,0.00000008,0,0,0,0
AldebaranAxis token USD,0.00000947,0,0,106,0
Stabledoc USD,0.008541,0.000848,0,"30,864",0
Myriad Social USD,0.000079,0,0,89,0
QoWatt USD,0.012578,-0.000646,0,"6,143",0
Synesis One USD,0.002459,0.000011,0,"210,142",0
SUIBOXER USD,0,0,0,111,0
Rufferal.com USD,0.000455,-0.000004,0,"1,036",0
Lenfi USD,3.2416,-0.1053,0,"87,998",0
MarketMove USD,0.00000308,-0.00000002,0,411,0
ALIF COIN USD,22.94,-4.25,0,"171,848",0
BabyXape USD,0.00000152,0,0,N/A,0
Giddy USD,0.009731,0.000216,0,"89,993",0
The Protocol USD,0.000464,0.00001,0,"94,731",0
Ethereum Privacy Machine USD,0.00000665,0,0,57,0
MetaMUI USD,0.120458,-0.000146,0,"102,934",0
Australian Dollar Token USD,0.685554,0.011841,0,6.544M,0
Eagle Token USD,0,0,0,"16,719",0
Fief USD,0.00102,-0.00141,0,140,0
PepeSol USD,0.000098,-0.000004,0,"4,462",0
MoonPot Finance USD,0.000929,-0.000017,0,95,0
HiFi Gaming Society USD,0.00000349,0,0,1,0
INU USD,0,0,0,70,0
Floki Box USD,0,0,0,79,0
Whale Exploder USD,0,0,0,6,0
ArbiDex Token USD,0.302665,0.014818,0,"12,268",0
Tari World USD,1.011,-0.0217,0,"51,296",0
Tail Finance USD,0,0,0,5,0
Bible USD,0.000014,0,0,153,0
Joe-Yo Coin USD,0,0,0,0,0
GreenWorld USD,0.007176,0.000032,0,359,0
MuratiAI USD,0.00002,0,0,"206,693",0
PayRue (Propel) USD,0.00000287,0,0,12,0
Graphen USD,0.000073,0,0,0,0
Flurry Finance USD,0.000031,-0.000001,0,"6,634",0
Ninja Protocol USD,0.00982,0.000106,0,351,0
QANplatform USD,0.016546,0.00092,0,"421,265",0
TATA Coin USD,0.008423,-0.000255,0,170,0
SpaceMine USD,0.000654,-0.000069,0,"188,179",0
Sekuritance USD,0.001104,-0.000008,0,"7,042",0
UncleMine USD,0.000162,-0.000006,0,"1,904",0
ENNO Cash USD,0.036,-0.000292,0,"6,585",0
Philcoin USD,0.008049,0.000082,0,"288,843",0
Power Crypto World USD,0.00000033,0,0,"1,156",0
Arbull USD,0,0,0,315,0
Ark Rivals USD,0.000191,-0.00001,0,"1,962",0
MedicalAI USD,0.00000089,0,0,12,0
ZEDXION USD,0.998228,0.000263,0,2.04M,0
Swaperry USD,0.001335,-0.000003,0,18,0
RABBIT HALLOWEEN USD,0,0,0,5,0
Glowston USD,0,0,0,21,0
Alpha Petto Shells USD,0.001737,0.000144,0,39,0
Codex USD,0.00000214,0.00000025,0,0,0
PlatinX USD,0.007495,-0.00136,0,"107,263",0
Metal Blockchain USD,0.053785,-0.000629,0,"19,988",0
IX Token USD,0.336992,0.001893,0,"137,611",0
Olympus v2 USD,10.75,-0.2,0,1.333M,0
Pepe Dash AI USD,0.000059,0,0,207,0
GLI TOKEN USD,4.329,-0.0741,0,"231,221",0
FROGGO The Last Pepe USD,0.001821,-0.000016,0,18,0
Crypto tex USD,0.831508,0.000173,0,28.548M,0
Moox Protocol USD,0.004626,-0.000227,0,84,0
Gains USD,0.074315,-0.000573,0,"2,554",0
Waifer USD,0,0,0,136,0
ShibElon USD,0.00000024,0,0,"42,956",0
Timmy Turner USD,0,0,0,12,0
Good Dog USD,0.502659,0.003997,0,"6,555",0
UCO Network USD,0.00801,0.000002,0,0,0
1Swap USD,0.00000671,0,0,0,0
VizslaSwap USD,0.007876,0.001114,0,177,0
Space Chain USD,0.000081,0.000003,0,327,0
Qubit USD,0.00006,0,0,13,0
Super Floki USD,0,0,0,4,0
Eggy Inu USD,0.00000161,0.00000001,0,8,0
MetaFighter USD,0.000229,-0.000003,0,"16,576",0
DeFi11 (Acquired by VulcanForged) USD,0.000209,-0.000004,0,0,0
LP 3pool Curve USD,1.0264,0.0036,0,"14,724",0
Asap Sniper Bot USD,0.000913,0.000208,0,"15,391",0
New Paradigm Assets Solution USD,0.013244,0.004177,0,"50,954",0
Waves Ducks USD,3.8095,-0.0502,0,109,0
Doge Ipa USD,0.000749,-0.000009,0,20,0
HistoryDAO USD,0.002121,0.00004,0,"795,633",0
Perry The BNB V2 USD,0,0,0,50,0
JP USD,0.000199,0.000001,0,546,0
DISAPPOINTED DAD USD,0.003991,-0.000032,0,5,0
Pepe Next Generation USD,0,0,0,2,0
VeUSD USD,1.0003,-0.0003,0,"91,286",0
Fluffy Coin USD,0.000118,0,0,96,0
Domi Online USD,0.003793,0.000333,0,"97,340",0
Bitcoin Pay USD,0.004083,-0.000012,0,131,0
Dogai USD,0.00000008,-0.00000001,0,1.335M,0
SIGN USD,0.004627,0.000005,0,"68,124",0
Crypto Bros USD,0,0,0,"1,885",0
REDMARS USD,0.000044,0,0,11,0
Game Stake USD,0.000096,-0.000001,0,10,0
UrDEX Finance USD,0.010302,-0.000036,0,148,0
DAOhaus USD,0.552487,-0.118137,0,6,0
SCOOBY USD,0,0,0,30,0
DogPad Finance USD,0.00000365,0.00000068,0,"45,168",0
Savant AI USD,0.000031,0,0,1,0
